Height (cm),Torus 20V (cm),Torus 25V (cm),Torus 30V (cm),Sphere 20V (cm),Sphere 25V (cm),Sphere 30V (cm),None 20V (cm),None 25V (cm),None 30V (cm)
0,20.07,26.67,30.99,1.27,17.78,20.32,23.11,30.48,31.75
5,26.67,31.24,33.02,3.3,19.05,21.59,26.67,35.05,37.08
10,33.53,35.56,41.4,3.8,19.05,22.86,31.75,37.85,42.16
15,34.8,39.62,44.45,3.05,17.53,21.34,33.27,39.12,44.7
20,35.81,42.42,44.7,16.26,18.04,20.32,34.04,39.62,47.24
25,34.54,43.18,45.21,14.22,17.02,21.54,33.78,38.1,43.43
30,35.81,41.91,42.67,15.75,16.26,20.57,34.54,38.35,44.2
35,34.29,41.91,32.77,12.45,16,17.78,32.77,37.08,42.93
40,34.54,40.39,42.41,13.97,12.7,15.75,30.48,35.56,40.64
45,30.48,38.61,39.62,11.18,9.4,14.48,27.94,33.53,39.37
50,27.18,38.61,37.59,8.64,8.64,11.94,24.13,30.48,36.83
55,19.35,35.31,34.29,6.6,7.02,7.62,7.62,24.84,29.21
58,,,,0,,,,,
60,6.86,30.23,20.83,,0,5.08,3.05,21.59,26.67
62,,,,,,0,0,,
65,5.08,22.61,15.75,,,,,1.27,20.07
66,,,,,,,,0,
68,0,,,,,,,,0
70,,15.24,6.05,,,,,,
72,,0,,,,,,,
74,,,0,,,,,,
75,,,,,,,,,
80,,,,,,,,,
